Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Standard Service Tools,Sand Pump Bailer,"2""",2,"1-1/16"" SR",N/A,12.3,17,Yes
Standard Service Tools,Sand Pump Bailer,"2-1/4""",2.25,"1-1/16"" SR",N/A,12.3,21,Yes
Standard Service Tools,Hydrostatic Bailer,"2""",2,,N/A,6.7,33,Yes
Standard Service Tools,Hydrostatic Bailer,"2-1/4""",2.25,,N/A,6.7,46.2,Yes
Fishing Tools,Blind Box,"2.00""",2,"15/16"" SR",N/A,0.5,2,Yes
Fishing Tools,Blind Box,"2.30""",2.3,"15/16"" SR",N/A,0.5,2.5,Yes
Fishing Tools,Blind Box,"2.62""",2.62,"1-1/16"" SR",N/A,0.5,3.5,Yes
Fishing Tools,Blind Box,"2.72""",2.72,"1-1/16"" SR",N/A,0.5,3.5,Yes
Fishing Tools,Blind Box,"3.30""",3.3,"1-1/16"" SR",N/A,0.6,6,Yes
Fishing Tools,Blind Box,"3.50""",3.5,"1-1/16"" SR",N/A,0.6,6,Yes
Fishing Tools,Blind Box,"3.75""",3.75,"1-1/16"" SR",N/A,0.6,7,Yes
Fishing Tools,Blind Box,"4.00""",4,"1-1/16"" SR",N/A,0.6,8,Yes
Fishing Tools,Blind Box,"4.25""",4.25,"1-1/16"" SR",N/A,0.6,8,Yes
Fishing Tools,Blind Box,"4.40""",4.4,"1-1/16"" SR",N/A,0.6,10,Yes
Fishing Tools,Heavy Duty Releasable Overshot,"2.5""",2.18,"1-1/16"" SR",N/A,2,22,Yes
Fishing Tools,Heavy Duty Releasable Overshot,"3""",2.6,"1-1/16"" SR",N/A,2,15.4,Yes
Fishing Tools,Heavy Duty Releasable Overshot,"4""",3.7,"1-1/16"" SR",N/A,2,9.9,Yes
Fishing Tools,Overshot,"3""",2.72,"1-1/16"" SR",N/A,1.8,22,Yes
Fishing Tools,Overshot,"2-1/2""",2.25,"1-1/16"" SR",N/A,1.7,15.4,Yes
Fishing Tools,Overshot,"2""",1.75,"1-1/16"" SR",N/A,1.7,9.9,Yes
Fishing Tools,Fishing Magnet,2.75,2.75,,N/A,1,20.2,No
Fishing Tools,Fishing Magnet,2.25,2.25,,N/A,1,13.5,No
Standard Service Tools,Bottom Sub,"3""",2.72,,N/A,3,13.5,No
Standard Service Tools,GLV Catcher (with X Lock Mandrel),TBC,,,N/A,,,No
Standard Service Tools,Junk Catcher,TBC,,,N/A,,,No
Standard Service Tools,A-Stop,"3""",2.719,Internal Fish Neck,N/A,2,15,Yes
Standard Service Tools,A-Stop,"2-1/2""",2.188,Internal Fish Neck,N/A,2,15,Yes
Standard Service Tools,A-Stop,"2""",2.75,Internal Fish Neck,N/A,2,15,Yes
Standard Service Tools,G-Stop,"2-1/2""",2.275,Internal Fish Neck,N/A,,0,Yes
Standard Service Tools,G-Stop,"2""",1.835,Internal Fish Neck,N/A,2,15,Yes
Standard Service Tools,XX Plug,"2.813""",2.813,Internal Fish Neck,N/A,2,42.2,Yes
Standard Service Tools,XX Plug,"2.750""",2.75,Internal Fish Neck,N/A,2,40.3,Yes
Standard Service Tools,XX Plug,"2.313""",2.313,Internal Fish Neck,N/A,2,28.5,Yes
Standard Service Tools,XX Plug,"1.875""",1.875,Internal Fish Neck,N/A,2,18.8,Yes
Standard Service Tools,XN Plug,"2.813""",2.813,Internal Fish Neck,N/A,2,42.2,Yes
Standard Service Tools,XN Plug,"2.750""",2.75,Internal Fish Neck,N/A,2,40.3,Yes
Standard Service Tools,XN Plug,"2.313""",2.313,Internal Fish Neck,N/A,2,28.5,Yes
Standard Service Tools,XN Plug,"1.875""",1.875,Internal Fish Neck,N/A,2,18.8,Yes
Standard Service Tools,PX Plug,"2.813""",2.813,Internal Fish Neck,N/A,2,42.2,Yes
Standard Service Tools,PX Plug,"2.750""",2.75,Internal Fish Neck,N/A,2,40.3,Yes
Standard Service Tools,PX Plug,"2.313""",2.313,Internal Fish Neck,N/A,2,28.5,Yes
Standard Service Tools,PX Plug,"1.875""",1.875,Internal Fish Neck,N/A,2,18.8,Yes
Standard Service Tools,PXN Plug,"2.813""",2.813,Internal Fish Neck,N/A,2,42.2,Yes
Standard Service Tools,PXN Plug,"2.750""",2.75,Internal Fish Neck,N/A,2,40.3,Yes
Standard Service Tools,PXN Plug,"2.313""",2.313,Internal Fish Neck,N/A,2,28.5,Yes
Standard Service Tools,PXN Plug,"1.875""",1.875,Internal Fish Neck,N/A,2,18.8,Yes
Standard Service Tools,Spacer Pipes,TBC,,,N/A,,,No
Standard Service Tools,Bullnose,TBC,,,N/A,,0,Yes
Safety Valves,FXE WR-SCSSSV,"2.867""",2.867,Internal Fish Neck,N/A,,,No
Safety Valves,B7 WR-SCSSSV,"2.867""",2.867,Int/Ext Fish Neck,N/A,,,No
Safety Valves,SOF WR-SCSSSV,"2.890""",2.89,Internal Fish Neck,N/A,,,No
Fishing Tools,Releasable Bulldog Spear,"3""",2.72,"1-1/16"" SR",N/A,2,39.5,No
Fishing Tools,Releasable Bulldog Spear,"2-1/2""",2.28,"15/16"" SR",N/A,2,27.7,No
Fishing Tools,Releasable Bulldog Spear,"2""",1.85,"15/16"" SR",N/A,2,18.3,No
Fishing Tools,Non-Releasable Bulldog Spear,"3""",2.75,"1-1/16"" SR",N/A,2,40.3,No
Fishing Tools,Non-Releasable Bulldog Spear,"2-1/2""",2.25,"15/16"" SR",N/A,2,27,No
Fishing Tools,Non-Releasable Bulldog Spear,"2""",1.75,"15/16"" SR",N/A,2,16.3,No
Fishing Tools,Centre Spear,"1-1/2""",1.5,"15/16"" SR",N/A,3,5,Yes
Fishing Tools,Centre Spear,"1-7/8""",1.875,"1-1/16"" SR",N/A,3,5,Yes
Fishing Tools,Centre Spear,"2-1/2""",2.5,"1-9/16"" SR",N/A,3,5,Yes
Fishing Tools,Wire Grab,"2-3/8"" Tubing",1.75,"15/16"" SR",N/A,2.2,13.2,Yes
